index,from_date,to_date,start_time,end_time,decay,sl,om,re_entry,day,run
NIFTY,01-01-2022,29-11-2024,09:20,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,09:30,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,09:40,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,09:50,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,10:00,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,10:10,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,10:20,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,10:30,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,10:40,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,10:50,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,11:00,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,11:10,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,11:20,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,11:30,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,11:40,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,11:50,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,12:00,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,12:10,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,12:20,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,12:30,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,12:40,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,12:50,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,13:00,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,13:10,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,13:20,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,13:30,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,13:40,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,13:50,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,14:00,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,14:10,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,14:20,15:28,0.9,20,-1,2,1,True
NIFTY,01-01-2022,29-11-2024,14:30,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,09:20,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,09:30,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,09:40,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,09:50,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,10:00,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,10:10,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,10:20,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,10:30,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,10:40,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,10:50,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,11:00,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,11:10,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,11:20,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,11:30,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,11:40,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,11:50,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,12:00,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,12:10,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,12:20,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,12:30,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,12:40,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,12:50,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,13:00,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,13:10,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,13:20,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,13:30,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,13:40,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,13:50,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,14:00,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,14:10,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,14:20,15:28,0.9,20,-1,2,1,True
SENSEX,01-01-2024,29-11-2024,14:30,15:28,0.9,20,-1,2,1,True
